station;lat(deg);lon(deg);time;buoy_station
3909;49.566;69.7417;12.08.2021 08:01;buoy
3911;57.9493;70.2966;12.08.2021 11:15;buoy
3912;58.0428;70.3757;12.08.2021 11:15;buoy
3915;61.277;71.7778;12.08.2021 18:25;buoy
3920;62.5931;72.3521;14.08.2021 05:57;nan
3921;63.8972;72.9143;14.08.2021 05:57;nan
3926;65.274;73.4858;14.08.2021 15:00;nan
3926;69.7013;74.7144;14.08.2021 15:32;nan
3930;69.7939;74.7179;15.08.2021 06:38;buoy
3933;71.974;74.8211;15.08.2021 16:54;nan
3939;73.5954;74.9934;16.08.2021 12:24;buoy
3940;73.0696;73.1035;16.08.2021 17:55;nan
3946;73.0215;72.8802;17.08.2021 03:58;buoy
3946;73.5206;72.7684;17.08.2021 04:57;buoy
3947;72.6648;73.2037;17.08.2021 04:57;buoy
3948;73.6533;73.7485;17.08.2021 07:44;nan
3950;75.3034;73.6032;17.08.2021 08:56;nan
3951;79.9042;73.1522;17.08.2021 12:27;nan
3952;80.1189;72.7669;17.08.2021 14:52;nan
3961;80.2985;72.4582;19.08.2021 02:23;nan
3963;80.6808;72.2621;19.08.2021 06:28;nan
3971;78.3141;74.6701;21.08.2021 07:53;nan
3971;79.5044;75.1388;21.08.2021 08:54;nan
3972;81.092;74.2486;21.08.2021 11:53;buoy
3974;83.8981;75.1445;21.08.2021 14:38;nan
3979;83.9014;75.8168;22.08.2021 01:56;nan
3982;82.0812;76.2491;22.08.2021 14:54;buoy
3987;82.0519;76.4496;23.08.2021 05:37;nan
3988;81.0154;79.2372;23.08.2021 08:56;nan
3989;80.337;79.4606;23.08.2021 10:52;nan
3990;79.9285;79.5008;23.08.2021 14:13;buoy
3995;78.9705;79.4861;24.08.2021 01:37;nan
3997;78.8779;82.048;24.08.2021 07:20;buoy
4005;78.8854;82.1322;25.08.2021 00:33;nan
4007;78.8423;82.3714;25.08.2021 04:01;nan
4008;76.0467;82.309;25.08.2021 05:57;nan
4009;74.2556;81.96;25.08.2021 07:10;nan
4009;73.7187;81.9314;25.08.2021 08:55;nan
4011;66.768;81.469;25.08.2021 12:53;nan
4013;67.2034;81.4364;25.08.2021 18:46;buoy
4016;72.4917;81.0458;26.08.2021 02:00;nan
4018;70.5439;80.8651;26.08.2021 06:06;nan
4020;70.0518;80.8297;26.08.2021 12:02;nan
4020;68.4066;80.6932;26.08.2021 12:47;buoy
4025;70.1232;80.2271;27.08.2021 02:11;buoy
4026;72.0057;80.0927;27.08.2021 02:11;buoy
4027;73.0669;80.0172;27.08.2021 06:34;nan
4029;72.0954;79.9302;27.08.2021 11:55;buoy
4031;66.6546;79.6117;27.08.2021 16:37;nan
4031;65.1093;79.4422;27.08.2021 17:42;buoy
4032;65.1292;79.0842;27.08.2021 17:42;buoy
4035;65.3835;77.8807;28.08.2021 01:17;nan
4037;65.4401;77.6707;28.08.2021 04:34;nan
4039;64.8421;77.8609;28.08.2021 07:06;nan
4040;62.2776;78.6453;28.08.2021 10:38;buoy
