station;lat(deg);lon(deg);time;buoy_station
2758;59.501;-6.668;10.08.2020 16:41:01;nan
2759;59.501;-7.334;10.08.2020 19:47:47;nan
2763;59.501;-10.0;11.08.2020 10:20:34;2763
2771;59.501;-15.334;12.08.2020 16:45:05;2771
2772;59.501;-16.0;12.08.2020 20:01:21;nan
2773;59.501;-16.668;12.08.2020 23:46:45;nan
2774;59.501;-17.334;13.08.2020 03:26:19;nan
2775;59.501;-18.0;13.08.2020 07:08:24;nan
2776;59.501;-18.668;13.08.2020 11:53:54;nan
2777;59.501;-19.334;13.08.2020 18:07:52;2777
2778;59.501;-20.0;13.08.2020 21:57:20;nan
2779;59.501;-20.668;14.08.2020 04:01:09;nan
2780;59.501;-21.334;14.08.2020 08:04:00;nan
2781;59.501;-22.0;14.08.2020 12:06:46;nan
2782;59.501;-22.668;14.08.2020 18:37:26;2782
2783;59.501;-23.334;14.08.2020 22:11:02;nan
2784;59.501;-24.0;15.08.2020 02:37:08;nan
2785;59.501;-24.668;15.08.2020 07:34:57;nan
2786;59.501;-25.334;15.08.2020 12:06:17;nan
2787;59.501;-26.0;15.08.2020 18:15:17;2787
2788;59.501;-26.668;15.08.2020 21:31:08;nan
2789;59.501;-27.334;16.08.2020 02:01:18;nan
2790;59.501;-28.0;16.08.2020 05:57:27;nan
2791;59.501;-28.668;16.08.2020 09:54:22;nan
2792;59.501;-29.334;16.08.2020 14:45:05;2792
2793;59.501;-30.0;16.08.2020 18:17:10;nan
2794;59.501;-30.668;16.08.2020 21:18:12;nan
2795;59.501;-31.334;17.08.2020 01:00:03;nan
2796;59.501;-32.0;17.08.2020 04:59:56;nan
2797;59.501;-32.668;17.08.2020 09:56:14;2797
2798;59.501;-33.334;17.08.2020 13:32:24;nan
2799;59.501;-34.0;17.08.2020 16:50:32;nan
2800;59.501;-34.668;17.08.2020 20:44:19;nan
2801;59.501;-35.334;18.08.2020 00:55:45;nan
2802;59.501;-36.0;18.08.2020 07:04:21;nan
2803;59.501;-36.668;18.08.2020 12:10:13;2803
2804;59.501;-37.334;18.08.2020 15:10:05;nan
2805;59.501;-38.0;18.08.2020 19:20:31;nan
2806;59.501;-38.668;18.08.2020 23:42:56;nan
2807;59.501;-39.334;19.08.2020 05:39:36;nan
2808;59.501;-40.0;19.08.2020 08:21:53;nan
2809;59.501;-40.334;19.08.2020 13:21:51;2809
2811;59.5678;-41.0;19.08.2020 18:15:29;nan
2812;59.64462;-41.2672;19.08.2020 21:28:24;nan
2814;59.77822;-41.7849;20.08.2020 02:39:05;nan
2816;59.84836;-42.05511;20.08.2020 07:05:42;nan
