station;lat(deg);lon(deg);time;buoy_station
3831;59.501;-4.6012;29.06.2021 19:18:38;3831
3835;59.501;-7.334;30.06.2021 08:35:20;nan
3836;59.501;-8.0;30.06.2021 12:22:34;3836
3837;59.501;-8.668;30.06.2021 16:08:57;nan
3838;59.501;-9.334;30.06.2021 19:59:08;nan
3841;59.501;-11.334;01.07.2021 07:50:19;3841
3842;59.501;-12.0;01.07.2021 15:31:02;nan
3843;59.501;-12.668;01.07.2021 18:59:24;nan
3847;59.501;-15.334;02.07.2021 10:09:43;3847
3848;59.501;-16.0;02.07.2021 13:55:26;nan
3849;59.501;-16.668;02.07.2021 17:55:32;nan
3852;59.501;-18.668;03.07.2021 07:44:48;nan
3853;59.501;-19.334;03.07.2021 11:57:13;3853
3854;59.501;-20.0;03.07.2021 15:46:07;nan
3855;59.501;-20.668;03.07.2021 20:33:07;nan
3858;59.501;-22.668;04.07.2021 09:42:40;3858
3859;59.501;-23.334;04.07.2021 15:38:13;nan
3860;59.501;-24.0;04.07.2021 20:00:21;nan
3863;59.501;-26.0;05.07.2021 09:38:25;3863
3864;59.501;-26.668;05.07.2021 13:41:47;nan
3865;59.501;-27.334;05.07.2021 17:49:07;nan
3866;59.501;-28.0;05.07.2021 21:30:25;nan
3868;59.501;-29.334;06.07.2021 06:22:50;nan
3869;59.501;-30.0;06.07.2021 11:23:50;3869
3870;59.501;-30.668;06.07.2021 16:09:57;3870
3871;59.501;-31.334;06.07.2021 20:28:04;nan
3873;59.501;-32.668;07.07.2021 05:07:14;nan
3874;59.501;-33.334;07.07.2021 05:07:14;nan
3875;59.501;-34.0;07.07.2021 15:25:18;3875
3876;59.501;-34.668;07.07.2021 19:37:41;nan
3878;59.501;-36.0;08.07.2021 05:58:43;nan
3879;59.501;-36.668;08.07.2021 10:30:39;nan
3880;59.501;-37.334;08.07.2021 16:59:39;3880
3883;59.501;-39.334;09.07.2021 07:03:22;nan
3884;59.501;-40.0;09.07.2021 12:01:25;3884
3885;59.501;-40.334;10.07.2021 08:24:04;nan
3885;59.501;-40.334;10.07.2021 08:24:04;nan
3886;59.501;-40.668;10.07.2021 11:53:37;nan
3886;59.501;-40.668;10.07.2021 11:53:37;nan
3887;59.5678;-41.0;10.07.2021 16:01:17;nan
3887;59.5678;-41.0;10.07.2021 16:01:17;nan
3888;59.64462;-41.2672;10.07.2021 18:38:38;nan
3888;59.64462;-41.2672;10.07.2021 18:38:38;nan
3889;59.71142;-41.5344;10.07.2021 20:52:06;nan
3889;59.71142;-41.5344;10.07.2021 20:52:06;nan
3894;59.87341;-42.15197;11.07.2021 07:49:39;nan
3895;59.8851;-42.2004;11.07.2021 08:49:07;nan
3896;59.89345;-42.26052;11.07.2021 09:55:15;nan
3897;59.9018;-42.32064;11.07.2021 10:44:21;nan
3898;59.90514;-42.38076;11.07.2021 11:25:06;nan
3899;59.90848;-42.44088;11.07.2021 12:02:44;3899
3900;59.91182;-42.501;11.07.2021 14:13:06;nan
3901;59.91516;-42.56112;11.07.2021 14:48:58;nan
3902;59.92184;-42.62124;11.07.2021 15:44:59;nan
3903;59.92852;-42.68136;11.07.2021 16:27:58;nan
3904;59.93019;-42.74148;11.07.2021 17:09:59;nan
3905;59.93854;-42.8016;11.07.2021 17:52:58;nan
3906;59.94021;-42.86172;11.07.2021 18:35:59;nan
3907;59.95023;-42.92184;11.07.2021 19:20:58;nan
3908;59.95691;-42.99198;11.07.2021 20:06:59;nan
